component_id,size_cells,centroid_px,centroid_py,centroid_map_x,centroid_map_y
55788,2,4468.5,1240.0,95.175,162.350
55789,2,4470.5,1240.0,95.275,162.350
55791,2,4476.5,1240.0,95.575,162.350
55797,2,4510.5,1240.0,97.275,162.350
55798,2,4518.5,1240.0,97.675,162.350
55799,2,4520.5,1240.0,97.775,162.350
55800,2,4522.5,1240.0,97.875,162.350
55805,2,4544.5,1240.0,98.975,162.350
55807,2,4556.5,1240.0,99.575,162.350
55808,2,4558.5,1240.0,99.675,162.350
55809,2,4568.5,1240.0,100.175,162.350
55815,2,4590.5,1240.0,101.275,162.350
55816,2,4594.5,1240.0,101.475,162.350
55817,2,4596.5,1240.0,101.575,162.350
55818,2,4600.5,1240.0,101.775,162.350
55819,2,4602.5,1240.0,101.875,162.350
55826,2,4640.5,1240.0,103.775,162.350
55827,2,4644.5,1240.0,103.975,162.350
55828,2,4648.5,1240.0,104.175,162.350
55831,2,4662.5,1240.0,104.875,162.350
55832,2,4666.5,1240.0,105.075,162.350
55833,2,4670.5,1240.0,105.275,162.350
55835,2,4680.5,1240.0,105.775,162.350
55838,2,4692.5,1240.0,106.375,162.350
55839,2,4694.5,1240.0,106.475,162.350
55840,2,4696.5,1240.0,106.575,162.350
55846,2,4732.5,1240.0,108.375,162.350
55847,2,4738.5,1240.0,108.675,162.350
55849,2,4746.5,1240.0,109.075,162.350
55850,2,4748.5,1240.0,109.175,162.350
55851,2,4750.5,1240.0,109.275,162.350
55853,2,4756.5,1240.0,109.575,162.350
55854,2,4760.5,1240.0,109.775,162.350
55857,2,4792.5,1240.0,111.375,162.350
55860,2,4800.5,1240.0,111.775,162.350
55864,2,4824.5,1240.0,112.975,162.350
55867,2,4844.5,1240.0,113.975,162.350
55872,2,4876.5,1240.0,115.575,162.350
55873,2,4878.5,1240.0,115.675,162.350
55874,2,4880.5,1240.0,115.775,162.350
55875,2,4888.5,1240.0,116.175,162.350
55876,2,4898.5,1240.0,116.675,162.350
55877,2,4902.5,1240.0,116.875,162.350
55878,2,4912.5,1240.0,117.375,162.350
55879,2,4914.5,1240.0,117.475,162.350
55882,2,4934.5,1240.0,118.475,162.350
55883,2,4936.5,1240.0,118.575,162.350
55884,2,4942.5,1240.0,118.875,162.350
55885,2,4944.5,1240.0,118.975,162.350
